"Año";"Periodo";"Precio de la luz"
"2022";"Día 10 de noviembre";"134,78"
"2022";"Día 11 de noviembre";"121,18"
"2022";"Día 12 de noviembre";"106,22"
"2022";"Día 13 de noviembre";"131,69"
"2022";"Día 14 de noviembre";"139,8"
"2022";"Día 15 de noviembre";"109,66"
"2022";"Día 16 de noviembre";"103,98"
"2022";"Día 17 de noviembre";"78,93"
"2022";"Día 18 de noviembre";"115,67"
"2022";"Día 19 de noviembre";"67,38"
"2022";"Día 20 de noviembre";"96,58"
"2022";"Día 21 de noviembre";"80,64"
"2022";"Día 22 de noviembre";"73,36"
"2022";"Día 23 de noviembre";"90,53"
"2022";"Día 24 de noviembre";"137,74"
"2022";"Día 25 de noviembre";"141,39"
"2022";"Día 26 de noviembre";"130,21"
"2022";"Día 27 de noviembre";"117,04"
"2022";"Día 28 de noviembre";"103,36"
"2022";"Día 29 de noviembre";"121,54"
"2022";"Día 30 de noviembre";"151,25"
"2022";"Día 1 de diciembre";"150,08"
"2022";"Día 2 de diciembre";"127,62"
"2022";"Día 3 de diciembre";"120,02"
"2022";"Día 4 de diciembre";"189,18"
"2022";"Día 5 de diciembre";"209,3"
"2022";"Día 6 de diciembre";"153,44"
"2022";"Día 7 de diciembre";"142,3"
"2022";"Día 8 de diciembre";"122,39"
"2022";"Día 9 de diciembre";"144,39"
"2022";"Día 10 de diciembre";"125,02"
"2022";"Día 11 de diciembre";"146,45"
"2022";"Día 12 de diciembre";"114,51"
"2022";"Día 13 de diciembre";"97,69"
"2022";"Día 14 de diciembre";"81,38"
"2022";"Día 15 de diciembre";"131,31"
"2022";"Día 16 de diciembre";"128,62"
"2022";"Día 17 de diciembre";"133,82"
"2022";"Día 18 de diciembre";"97,73"
"2022";"Día 19 de diciembre";"81,07"
"2022";"Día 20 de diciembre";"65,41"
"2022";"Día 21 de diciembre";"64,09"
"2022";"Día 22 de diciembre";"52,03"
"2022";"Día 23 de diciembre";"22,34"
"2022";"Día 24 de diciembre";"15,24"
"2022";"Día 25 de diciembre";"36,41"
"2022";"Día 26 de diciembre";"77,32"
"2022";"Día 27 de diciembre";"109,49"
"2022";"Día 28 de diciembre";"41,41"
"2022";"Día 29 de diciembre";"16,19"
"2022";"Día 30 de diciembre";"6,02"
"2022";"Día 31 de diciembre";"2,65"
"2023";"2023";"6,7"
"2023";"Día 2 de enero";"112,55"
"2023";"Día 3 de enero";"138,79"
"2023";"Día 4 de enero";"115,26"
"2023";"Día 5 de enero";"109,19"
"2023";"Día 6 de enero";"104,14"
"2023";"Día 7 de enero";"23,77"
"2023";"Día 8 de enero";"10,28"
"2023";"Día 9 de enero";"85,78"
"2023";"Día 10 de enero";"109,4"
"2023";"Día 11 de enero";"83,84"
"2023";"Día 12 de enero";"92,69"
"2023";"Día 13 de enero";"88,48"
"2023";"Día 14 de enero";"53"
"2023";"Día 15 de enero";"22,05"
"2023";"Día 16 de enero";"13,22"
"2023";"Día 17 de enero";"5,1"
"2023";"Día 18 de enero";"21,61"
"2023";"Día 19 de enero";"34,51"
"2023";"Día 20 de enero";"91,2"
"2023";"Día 21 de enero";"58,89"
"2023";"Día 22 de enero";"37,7"
"2023";"Día 23 de enero";"71,92"
"2023";"Día 24 de enero";"87,45"
"2023";"Día 25 de enero";"93,25"
"2023";"Día 26 de enero";"67,4"
"2023";"Día 27 de enero";"45,67"
"2023";"Día 28 de enero";"41,42"
"2023";"Día 29 de enero";"68,41"
"2023";"Día 30 de enero";"135,37"
"2023";"Día 31 de enero";"127,07"
"2023";"Día 1 de febrero";"128,55"
"2023";"Día 2 de febrero";"138,46"
"2023";"Día 3 de febrero";"138,58"
"2023";"Día 4 de febrero";"125,6"
"2023";"Día 5 de febrero";"79,38"
"2023";"Día 6 de febrero";"134,98"
"2023";"Día 7 de febrero";"137,36"
"2023";"Día 8 de febrero";"138"
"2023";"Día 9 de febrero";"145"
"2023";"Día 10 de febrero";"142,05"
"2023";"Día 11 de febrero";"131,76"
"2023";"Día 12 de febrero";"137,77"
"2023";"Día 13 de febrero";"146,77"
"2023";"Día 14 de febrero";"142,9"
"2023";"Día 15 de febrero";"145,07"
"2023";"Día 16 de febrero";"145,81"
"2023";"Día 17 de febrero";"133,56"
"2023";"Día 18 de febrero";"128,56"
"2023";"Día 19 de febrero";"124,09"
"2023";"Día 20 de febrero";"134,13"
"2023";"Día 21 de febrero";"151,43"
"2023";"Día 22 de febrero";"144,45"
"2023";"Día 23 de febrero";"140,57"
"2023";"Día 24 de febrero";"148,08"
"2023";"Día 25 de febrero";"143,1"
"2023";"Día 26 de febrero";"81,05"
"2023";"Día 27 de febrero";"117,49"
"2023";"Día 28 de febrero";"132,68"
"2023";"Día 1 de marzo";"145,91"
"2023";"Día 2 de marzo";"142,09"
"2023";"Día 3 de marzo";"142,56"
"2023";"Día 4 de marzo";"138,57"
"2023";"Día 5 de marzo";"143,92"
"2023";"Día 6 de marzo";"147,77"
"2023";"Día 7 de marzo";"120,99"
"2023";"Día 8 de marzo";"98,93"
"2023";"Día 9 de marzo";"73,59"
"2023";"Día 10 de marzo";"42,71"
"2023";"Día 11 de marzo";"30,03"
"2023";"Día 12 de marzo";"80,62"
"2023";"Día 13 de marzo";"36,84"
"2023";"Día 14 de marzo";"61,51"
"2023";"Día 15 de marzo";"132,68"
"2023";"Día 16 de marzo";"87,83"
"2023";"Día 17 de marzo";"70,27"
"2023";"Día 18 de marzo";"101,61"
"2023";"Día 19 de marzo";"95,87"
"2023";"Día 20 de marzo";"121,56"
"2023";"Día 21 de marzo";"119,34"
"2023";"Día 22 de marzo";"101,22"
"2023";"Día 23 de marzo";"83,84"
"2023";"Día 24 de marzo";"59,15"
"2023";"Día 25 de marzo";"39,04"
"2023";"Día 26 de marzo";"28,48"
"2023";"Día 27 de marzo";"102,63"
"2023";"Día 28 de marzo";"111,91"
"2023";"Día 29 de marzo";"68,91"
"2023";"Día 30 de marzo";"31,11"
"2023";"Día 31 de marzo";"16,53"
"2023";"Día 1 de abril";"33,99"
"2023";"Día 2 de abril";"15,74"
"2023";"Día 3 de abril";"61,79"
"2023";"Día 4 de abril";"56,21"
"2023";"Día 5 de abril";"104,09"
"2023";"Día 6 de abril";"89,65"
"2023";"Día 7 de abril";"83,21"
"2023";"Día 8 de abril";"86,62"
"2023";"Día 9 de abril";"75,57"
"2023";"Día 10 de abril";"52,54"
"2023";"Día 11 de abril";"91,4"
"2023";"Día 12 de abril";"38,9"
"2023";"Día 13 de abril";"57"
"2023";"Día 14 de abril";"46,73"
"2023";"Día 15 de abril";"21,77"
"2023";"Día 16 de abril";"25,41"
"2023";"Día 17 de abril";"66,66"
"2023";"Día 18 de abril";"96,19"
"2023";"Día 19 de abril";"113,48"
"2023";"Día 20 de abril";"108,28"
"2023";"Día 21 de abril";"100,9"
"2023";"Día 22 de abril";"78,78"
"2023";"Día 23 de abril";"49,94"
"2023";"Día 24 de abril";"92,08"
"2023";"Día 25 de abril";"90,95"
"2023";"Día 26 de abril";"108,73"
"2023";"Día 27 de abril";"109,05"
"2023";"Día 28 de abril";"107,89"
"2023";"Día 29 de abril";"83,43"
"2023";"Día 30 de abril";"65,04"
"2023";"Día 1 de mayo";"61,35"
"2023";"Día 2 de mayo";"108,4"
"2023";"Día 3 de mayo";"84,3"
"2023";"Día 4 de mayo";"90,4"
"2023";"Día 5 de mayo";"100,82"
"2023";"Día 6 de mayo";"91,43"
"2023";"Día 7 de mayo";"63,54"
"2023";"Día 8 de mayo";"97,51"
"2023";"Día 9 de mayo";"89,48"
"2023";"Día 10 de mayo";"82,77"
"2023";"Día 11 de mayo";"81,73"
"2023";"Día 12 de mayo";"74,14"
"2023";"Día 13 de mayo";"51,12"
"2023";"Día 14 de mayo";"39,58"
"2023";"Día 15 de mayo";"55,6"
"2023";"Día 16 de mayo";"42,48"
"2023";"Día 17 de mayo";"49,58"
"2023";"Día 18 de mayo";"51,76"
"2023";"Día 19 de mayo";"60,27"
"2023";"Día 20 de mayo";"45,27"
"2023";"Día 21 de mayo";"31,52"
"2023";"Día 22 de mayo";"88,85"
"2023";"Día 23 de mayo";"83,78"
"2023";"Día 24 de mayo";"85,23"
"2023";"Día 25 de mayo";"75,88"
"2023";"Día 26 de mayo";"65,55"
"2023";"Día 27 de mayo";"86,42"
"2023";"Día 28 de mayo";"84,94"
"2023";"Día 29 de mayo";"95,8"
"2023";"Día 30 de mayo";"92,53"
"2023";"Día 31 de mayo";"88,45"
"2023";"Día 1 de junio";"85,37"
"2023";"Día 2 de junio";"86,74"
"2023";"Día 3 de junio";"79,36"
"2023";"Día 4 de junio";"67,23"
"2023";"Día 5 de junio";"86,65"
"2023";"Día 6 de junio";"87,26"
"2023";"Día 7 de junio";"87,16"
"2023";"Día 8 de junio";"81,13"
"2023";"Día 9 de junio";"81,67"
